goal_usd,australia,canada,switzerland,denmark,western_europe,great_britain,hong_kong,norway,sweden,singapore,united_states,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,is_success,day_period,art,audio,camera_gear,comics,culture,dance_theater,education,energy_greentech,environment,fashion,film,food_beverages,health_fitness,home,human_rights,local_businesses,music,phones_accessoires,photography,podcasts_blogs,productivity,tabletop_games,transportation,travel_outdoors,video_games,webseries_tvshows,wellness,writing_publishing,friday,monday,saturday,sunday,thursday,tuesday,wednesday,title_length,tagline_length,friday_end,monday_end,saturday_end,sunday_end,thursday_end,tuesday_end,wednesday_end,april_end,august_end,december_end,february_end,january_end,july_end,june_end,march_end,may_end,november_end,october_end,september_end
5000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4700.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3500.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3300.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3533.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
